product_id	product_id	orbit_number	start_time	image_category	product_id
M1097131597RE	M1097131597RE	14046	2012-07-17 02:32:10.175	NACR	M1097131597RE
M1097145919LE	M1097145919LE	14048	2012-07-17 06:30:52.46	NACL	M1097145919LE
M1097145919RE	M1097145919RE	14048	2012-07-17 06:30:52.46	NACR	M1097145919RE
M1097153039LE	M1097153039LE	14049	2012-07-17 08:29:31.724	NACL	M1097153039LE
M1097153039RE	M1097153039RE	14049	2012-07-17 08:29:31.724	NACR	M1097153039RE
M109767915LE	M109767915LE	1310	2009-10-09 22:50:48.829	NACL	M109767915LE
M109767915RE	M109767915RE	1310	2009-10-09 22:50:48.829	NACR	M109767915RE
M1099432339LE	M1099432339LE	14368	2012-08-12 17:38:03.585	NACL	M1099432339LE
M1099432339RE	M1099432339RE	14368	2012-08-12 17:38:03.585	NACR	M1099432339RE
M1099439486LE	M1099439486LE	14369	2012-08-12 19:37:11.143	NACL	M1099439486LE
M1099439486RE	M1099439486RE	14369	2012-08-12 19:37:11.143	NACR	M1099439486RE
M1099446629LE	M1099446629LE	14370	2012-08-12 21:36:13.541	NACL	M1099446629LE
M1099446629RE	M1099446629RE	14370	2012-08-12 21:36:13.541	NACR	M1099446629RE
M1099453775LE	M1099453775LE	14371	2012-08-12 23:35:19.852	NACL	M1099453775LE
M1099453775RE	M1099453775RE	14371	2012-08-12 23:35:19.852	NACR	M1099453775RE
M1099482400LE	M1099482400LE	14375	2012-08-13 07:32:24.974	NACL	M1099482400LE
M1099482400RE	M1099482400RE	14375	2012-08-13 07:32:24.974	NACR	M1099482400RE
M1099496689LE	M1099496689LE	14377	2012-08-13 11:30:33.53	NACL	M1099496689LE
M1099496689RE	M1099496689RE	14377	2012-08-13 11:30:33.53	NACR	M1099496689RE
M1099503837LE	M1099503837LE	14378	2012-08-13 13:29:41.775	NACL	M1099503837LE
M1099503837RE	M1099503837RE	14378	2012-08-13 13:29:41.775	NACR	M1099503837RE
M1099510987LE	M1099510987LE	14379	2012-08-13 15:28:51.449	NACL	M1099510987LE
M1099510987RE	M1099510987RE	14379	2012-08-13 15:28:51.449	NACR	M1099510987RE
M1099518134LE	M1099518134LE	14380	2012-08-13 17:27:58.877	NACL	M1099518134LE
M1099518134RE	M1099518134RE	14380	2012-08-13 17:27:58.877	NACR	M1099518134RE
M1099525272LE	M1099525272LE	14381	2012-08-13 19:26:56.954	NACL	M1099525272LE
M1099525272RE	M1099525272RE	14381	2012-08-13 19:26:56.954	NACR	M1099525272RE
M1099532419LE	M1099532419LE	14382	2012-08-13 21:26:03.847	NACL	M1099532419LE
M1099532419RE	M1099532419RE	14382	2012-08-13 21:26:03.847	NACR	M1099532419RE
M1099539547LE	M1099539547LE	14383	2012-08-13 23:24:52.082	NACL	M1099539547LE
M1099539547RE	M1099539547RE	14383	2012-08-13 23:24:52.082	NACR	M1099539547RE
M1099546724RE	M1099546724RE	14384	2012-08-14 01:24:28.197	NACR	M1099546724RE
M1099553869LE	M1099553869LE	14385	2012-08-14 03:23:33.902	NACL	M1099553869LE
M1099553869RE	M1099553869RE	14385	2012-08-14 03:23:33.902	NACR	M1099553869RE
M1101782829LE	M1101782829LE	14697	2012-09-08 22:32:41.997	NACL	M1101782829LE
M1101782829RE	M1101782829RE	14697	2012-09-08 22:32:41.997	NACR	M1101782829RE
M1101847148LE	M1101847148LE	14706	2012-09-09 16:25:05.882	NACL	M1101847148LE
M1101847148RE	M1101847148RE	14706	2012-09-09 16:25:05.882	NACR	M1101847148RE
M1101854269LE	M1101854269LE	14707	2012-09-09 18:23:46.125	NACL	M1101854269LE
M1101854269RE	M1101854269RE	14707	2012-09-09 18:23:46.125	NACR	M1101854269RE
M1101861432LE	M1101861432LE	14708	2012-09-09 20:23:09.492	NACL	M1101861432LE
M1101861432RE	M1101861432RE	14708	2012-09-09 20:23:09.492	NACR	M1101861432RE
M1101868561LE	M1101868561LE	14709	2012-09-09 22:21:58.518	NACL	M1101868561LE
M1101868561RE	M1101868561RE	14709	2012-09-09 22:21:58.518	NACR	M1101868561RE
M1101875719LE	M1101875719LE	14710	2012-09-10 00:21:16.062	NACL	M1101875719LE
M1101875719RE	M1101875719RE	14710	2012-09-10 00:21:16.062	NACR	M1101875719RE
M1101882858LE	M1101882858LE	14711	2012-09-10 02:20:15.482	NACL	M1101882858LE
M1101882858RE	M1101882858RE	14711	2012-09-10 02:20:15.482	NACR	M1101882858RE
M1101890003LE	M1101890003LE	14712	2012-09-10 04:19:20.455	NACL	M1101890003LE
M1101890003RE	M1101890003RE	14712	2012-09-10 04:19:20.455	NACR	M1101890003RE
M1101897141LE	M1101897141LE	14713	2012-09-10 06:18:18.373	NACL	M1101897141LE
M1101897141RE	M1101897141RE	14713	2012-09-10 06:18:18.373	NACR	M1101897141RE
M1101904270LE	M1101904270LE	14714	2012-09-10 08:17:06.969	NACL	M1101904270LE
M1101904270RE	M1101904270RE	14714	2012-09-10 08:17:06.969	NACR	M1101904270RE
M1104132886RE	M1104132886RE	15026	2012-10-06 03:20:19.626	NACR	M1104132886RE
M1104211507LE	M1104211507LE	15037	2012-10-07 01:10:40.123	NACL	M1104211507LE
M1104211507RE	M1104211507RE	15037	2012-10-07 01:10:40.123	NACR	M1104211507RE
M1104218630LE	M1104218630LE	15038	2012-10-07 03:09:47.369	NACL	M1104218630LE
M1104218630RE	M1104218630RE	15038	2012-10-07 03:09:47.369	NACR	M1104218630RE
M1104225774LE	M1104225774LE	15039	2012-10-07 05:08:51.234	NACL	M1104225774LE
M1104225774RE	M1104225774RE	15039	2012-10-07 05:08:51.234	NACR	M1104225774RE
M1104232920LE	M1104232920LE	15040	2012-10-07 07:07:57.187	NACL	M1104232920LE
M1104232920RE	M1104232920RE	15040	2012-10-07 07:07:57.187	NACR	M1104232920RE
M1104240065LE	M1104240065LE	15041	2012-10-07 09:07:02.241	NACL	M1104240065LE
M1104240065RE	M1104240065RE	15041	2012-10-07 09:07:02.241	NACR	M1104240065RE
M1104247206LE	M1104247206LE	15042	2012-10-07 11:06:03.153	NACL	M1104247206LE
M1104247206RE	M1104247206RE	15042	2012-10-07 11:06:03.153	NACR	M1104247206RE
M1104254343LE	M1104254343LE	15043	2012-10-07 13:05:00.687	NACL	M1104254343LE
M1104254343RE	M1104254343RE	15043	2012-10-07 13:05:00.687	NACR	M1104254343RE
M1104261488LE	M1104261488LE	15044	2012-10-07 15:04:05.473	NACL	M1104261488LE
M1104261488RE	M1104261488RE	15044	2012-10-07 15:04:05.473	NACR	M1104261488RE
M1104268642LE	M1104268642LE	15045	2012-10-07 17:03:19.602	NACL	M1104268642LE
M1104268642RE	M1104268642RE	15045	2012-10-07 17:03:19.602	NACR	M1104268642RE
M1104275790LE	M1104275790LE	15046	2012-10-07 19:02:27.092	NACL	M1104275790LE
